"Title","Author","Publisher","Published Date","Format","Pages","Series","Volume","Language","ISBN","Page Read","Item Url","Icon Path","Photo Path","Image Url","Summary","Location","Price","Genres","Rating","Added Date","Copy Index","Read","Started Reading Date","Finished Reading Date","Favorite","Comments","Tags","BookShelf","Settings"
"The Rising of the Shield Hero Volume 02 (The Rising of the Shield Hero Series: Light Novel)","Yusagi, Aneko","One Peace Books","2015-10-20","Paperback","300","The Rising of the Shield Hero (Light Novel)","2","English","9781935548782","","https://www.amazon.com/dp/1935548786?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/512trsvfCSL._SL500_.jpg","Naofumi Iwatani, an uncharismatic Otaku who spends his days on games and manga, suddenly finds himself summoned to a parallel universe! He discovers he is one of four heroes equipped with legendary weapons and tasked with saving the world from its prophesied destruction. As the Shield Hero, the weakest of the heroes, all is not as it seems. Naofumi is soon alone, penniless, and betrayed. With no one to turn to, and nowhere to run, he is left with only his shield. Now, Naofumi must rise to become the legendary Shield Hero and save the world!

","","12.36","Fantasy","4.2","06/26/2025","","","","","","","","Raising of the Shield Hero"
"The Rising of the Shield Hero Volume 03 (The Rising of the Shield Hero Series: Light Novel)","Yusagi, Aneko","One Peace Books","2016-02-16","Paperback","344","The Rising of the Shield Hero (Light Novel)","3","English","9781935548669","","https://www.amazon.com/dp/1935548662?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/516+zWhK1dL._SL500_.jpg","Naofumi Iwatani, an uncharismatic Otaku who spends his days on games and manga, suddenly finds himself summoned to a parallel universe! He discovers he is one of four heroes equipped with legendary weapons and tasked with saving the world from its prophesied destruction. As the Shield Hero, the weakest of the heroes, all is not as it seems. Naofumi is soon alone, penniless, and betrayed. With no one to turn to, and nowhere to run, he is left with only his shield. Now, Naofumi must rise to become the legendary Shield Hero and save the world!

","","12.97","Fantasy","4.2","06/26/2025","","","","","","","","Raising of the Shield Hero"
"The Rising of the Shield Hero Volume 04 (The Rising of the Shield Hero Series: Light Novel)","Yusagi, Aneko","One Peace Books","2016-06-14","Paperback","344","The Rising of the Shield Hero (Light Novel)","4","English","9781935548652","","https://www.amazon.com/dp/1935548654?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51qOnMCTsrL._SL500_.jpg","Naofumi Iwatani, an uncharismatic Otaku who spends his days on games and manga, suddenly finds himself summoned to a parallel universe! He discovers he is one of four heroes equipped with legendary weapons and tasked with saving the world from its prophesied destruction. As the Shield Hero, the weakest of the heroes, all is not as it seems. Naofumi is soon alone, penniless, and betrayed. With no one to turn to, and nowhere to run, he is left with only his shield. Now, Naofumi must rise to become the legendary Shield Hero and save the world!

","","13.95","Fantasy","4.3","06/26/2025","","","","","","","","Raising of the Shield Hero"
"The Rising of the Shield Hero Volume 05 (The Rising of the Shield Hero Series: Light Novel)","Yusagi, Aneko","One Peace Books","2016-08-23","Paperback","400","The Rising of the Shield Hero (Light Novel)","5","English","9781935548676","","https://www.amazon.com/dp/1935548670?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51IA6zrS6pL._SL500_.jpg","Naofumi is off to the Cal Mira islands, where he plans to continue leveling up. Soon after arriving he meets a mysterious young man named L Arc Berg. But how will this curious new character impact Naofumi s adventures? Surrounded by mystery and intrigue, Glass makes her second appearance. Aneko Yusagi's epic fantasy continues in volume 5!""

","","12.97","Fantasy","4.2","06/26/2025","","","","","","","","Raising of the Shield Hero"
"The Rising of the Shield Hero Volume 06 (The Rising of the Shield Hero Series: Light Novel)","Yusagi, Aneko","One Peace Books","2016-11-22","Paperback","400","The Rising of the Shield Hero (Light Novel)","6","English","9781935548560","","https://www.amazon.com/dp/1935548565?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51hOmjxpprL._SL500_.jpg","After their battle with Glass, Naofumi and his friends work to revitalize the Cal Mira islands before returning to the castle. On the ship back to Melromarc, they meet a young girl named Rishia, who claims to have been tricked and abandoned by her companions. Naofumi, sympathizing with her fate, agrees to listen to her story, and she joins the party. Eventually, Naofumi discovers that she has a talent for transformation magic, but before they can discuss it, someone comes running to beg the heroes for assistance. A monster wearing something like a turtle shell needs to be chased off. The monster is so powerful that even the mightiest adventurers cannot defeat him so what hope is there for Naofumi? Those answers and more in volume 6 as the epic fantasy continues!""

","","12.64","Fantasy","4.1","06/26/2025","","","","","","","","Raising of the Shield Hero"
"The Rising of the Shield Hero Volume 07 (The Rising of the Shield Hero Series: Light Novel)","Yusagi, Aneko","One Peace Books","2017-04-18","Paperback","400","The Rising of the Shield Hero (Light Novel)","7","English","9781944937089","","https://www.amazon.com/dp/1944937080?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51lGjQpqZ-L._SL500_.jpg","Naofumi and his friends defeat the Spirit Tortoise after it rampages across the country. They leave in search of the other missing heroes and meet Ost along the way, who says she is one of the Spirit Tortoise s servants. She tells Naofumi that the Spirit Tortoise is still alive and that someone is pulling the strings to use the tortoise to destroy the world! Can Naofumi protect those he loves from this new danger?""

","","12.97","Dark Fantasy","4.2","06/26/2025","","","","","","","","Raising of the Shield Hero"
"The Rising of the Shield Hero Volume 08 (The Rising of the Shield Hero Series: Light Novel)","Yusagi, Aneko","One Peace Books","2017-06-13","Paperback","400","The Rising of the Shield Hero (Light Novel)","8","English","9781944937096","","https://www.amazon.com/dp/1944937099?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/517rfTAn8gL._SL500_.jpg","At a critical moment, Naofumi and the others are saved by a young girl. Ost s sacrifice is enough to save them from their battle to the death with Kyo, but Kyo's able to escape to another world. Naofumi attempts to follow him, but he awakens to find himself in prison! His friends are scattered and he finds himself back at level one. How will Naofumi survive the new challenges that await him?""

","","13.95","Fantasy","4.3","06/26/2025","1","","","","","","","Raising of the Shield Hero"
"The Rising of the Shield Hero Volume 09 (The Rising of the Shield Hero Series: Light Novel)","Yusagi, Aneko","One Peace Books","2017-11-15","Paperback","400","The Rising of the Shield Hero (Light Novel)","9","English","9781944937256","","https://www.amazon.com/dp/1944937250?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51IVCvaK1SL._SL500_.jpg","-I will see to your punishment. Come at me!- Yomogi, a female samurai, attacks Naofumi and his team. The Shield Hero, Naofumi, finds himself separated from his companions--and reduced to level one! With the help of Kizuna, one of the holy heroes from the new world, he is able to reunite with his friends. Naofumi prepares to battle their enemy Kyo, but then Yomogi attacks, declaring she is acting on Kyo's behalf. In the middle of battle, Naofumi notices something strange about her powerful weapon--but what is it? Find out in volume nine of this otherworldly revenge fantasy!

","","13.95","Fantasy","4.2","06/26/2025","","","","","","","","Raising of the Shield Hero"
"The Rising of the Shield Hero Volume 10 (The Rising of the Shield Hero Series: Light Novel)","Yusagi, Aneko","One Peace Books","2018-03-20","Paperback","400","The Rising of the Shield Hero (Light Novel)","10","English","9781944937263","","https://www.amazon.com/dp/1944937269?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51pCOyrO9fL._SL500_.jpg","Finishing the battle with Kyo, Naofumi and his friends return safely to their world. The queen of Melromarc wishes to reward Naofumi for saving the world from the Spirit Tortoise. -Then can I have my own land?- After thinking about what he could do for his friend and partner, Raphtalia, Naofumi decides the best thing for their future would be the establishment of their own settlement--and he decides to build it on the ruins of Raphtalia's old hometown! The start of a whole new chapter in our hero's life begins here, in volume ten of this otherworld revenge fantasy!","","13.95","Fantasy","4.21","06/26/2025","","","","","","","","Raising of the Shield Hero"
"The Rising of the Shield Hero Volume 13 (The Rising of the Shield Hero Series: Light Novel)","Yusagi, Aneko","One Peace Books","2018-12-18","Paperback","400","The Rising of the Shield Hero (Light Novel)","13","English","9781944937966","","https://www.amazon.com/dp/194493796X?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51UapaT298L._SL500_.jpg","After they were summoned to another world, the other three heroes persist in behaving as if they are playing a game. But the Shield Hero, Naofumi Iwatani, finally convinces them to change their ways and make them face reality. Later, after a journey riddled with difficulties, Naofumi and crew finally arrive in Q'ten Lo, a country that has made repeated attempts on Raphtalia's life. They initially infiltrate the country with the intention of making its inhabitants pay for its tyrannical actions, but it turns out that even its own citizens are suffering as a result of incompetent rulers. ""We'll start by bringing assistance from Siltvelt to the town, and then it's a charge to victory!"" They start a rebellion to overthrow the government. But right in the middle of it, Naofumi and his crew's abilities are nullified by mysterious weapons designed for use against the heroes! What will their fate be?! What will become of their raid on this uncharted land?! Find out in volume thirteen of this otherworldly revenge fantasy!","","13.95","Fantasy","4.20","06/26/2025","","","","","","","","Raising of the Shield Hero"
"The Rising of the Shield Hero Volume 15 (The Rising of the Shield Hero Series: Light Novel)","Yusagi, Aneko","One Peace Books","2019-12-15","Paperback","400","The Rising of the Shield Hero (Light Novel)","15","English","9781642730197","","https://www.amazon.com/dp/164273019X?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51B329u7wJL._SL500_.jpg","After the successful revolt in Q'ten Lo, Naofumi returns to his village headquarters. Meanwhile, things in Melromarc continue to deteriorate, so he sets out to restore public order before strengthening his village residents. Now, with more allies than ever, Naofumi is faced with deciding who will participate in the battle against the Phoenix. Not everyone agrees with his choices. ""I can't guarantee I'll be able to protect all of you. Knowing that, if you're not confident you can make it back alive, then don't come!"" A difference of opinion causes friends to butt heads, but their bonds only grow stronger as a result. And then the day that everyone has so painstakingly prepared for arrives--the Phoenix finally appears! But a completely unexpected turn of events awaits. Naofumi is doomed to experience unthinkable grief in volume fifteen of this otherworldly fantasy!","","12.97","Fantasy","4.48","06/26/2025","","","","","","","","Raising of the Shield Hero"
"The Rising of the Shield Hero Volume 18 (The Rising of the Shield Hero Series: Light Novel)","Yusagi, Aneko","One Peace Books","2020-11-12","Paperback","400","The Rising of the Shield Hero (Light Novel)","18","English","9781642730821","","https://www.amazon.com/dp/1642730823?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51GYlfdkpJL._SL500_.jpg","Naofumi obtains the mirror vassal weapon from Kizuna’s world, which can enhance abilities through food. Now Naofumi and his allies start stuffing their faces for the sake of getting stronger! But there’s a limit to how much volume they can stomach. Seeking food that can better boost their abilities in smaller servings, the party heads to a town inhabited by a famous chef. However, after a trivial comment, Naofumi finds himself facing down the chef in an all-out cooking battle!

“There’s nothing fair, and no rules in this place! That means only a master of foul play and cunning will be the victor!”

How will Naofumi’s cooking skills, so praised by his allies, fare in this culinary challenge amid unknown surroundings? Get ready to feast on the eighteenth volume of this still rising otherworld fantasy!","","12.97","Fantasy","4.08","06/26/2025","","","","","","","","Raising of the Shield Hero"
"The Villainess Who Has Been Killed 108 Times: She Remembers Everything! (Manga) Vol. 1",", Namakura; Toriu, Chinori; Nabeshima, Tetsuhiro","Seven Seas","2023-10-10","Paperback","186","The Villainess Who Has Been Killed 108 Times. She Remembered Everything. The Maiden with the Ruby Creates a Miracle.","1","English","9781638587088","","https://www.amazon.com/dp/1638587086?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51si2UFRQKL._SL500_.jpg","In this fantasy ""time loop"" comedy, a villainess tries to change her future and break the curse of dying young!


Scarlet Ruby Noel Hydrangea has died 108 times. Born the daughter of a duke, she later seized the throne of the Hydrangea Kingdom and imposed a reign of absolute terror upon its citizens. However, she always met a brutal end at the hands of the five heroes destined to take her down. On her 109th loop, she regains the memories of her previous lives. Scarlet decides to use this knowledge to escape this cycle of disaster. But though she might have all the memories and knowledge of her previous lives, for now Scarlet is stuck as an infant. If she’s to survive, Scarlet must depend on former foes to aid her—the same heroes who killed her before!



","","13.15","Fantasy","3.8","07/18/2025","","","","","","","","The Villainess Who Has Been Killed 108 Times"
"The Villainess Who Has Been Killed 108 Times: She Remembers Everything! (Manga) Vol. 2",", Namakura; Toriu, Chinori; Nabeshima, Tetsuhiro","Seven Seas","2024-02-13","Paperback","186","The Villainess Who Has Been Killed 108 Times. She Remembered Everything. The Maiden with the Ruby Creates a Miracle.","2","English","9781638589112","","https://www.amazon.com/dp/1638589119?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51mZ-ttiDfL._SL500_.jpg","In this fantasy ""time loop"" comedy, a villainess tries to change her future and break the curse of dying young!

Scarlet Ruby Noel Hydrangea has died 108 times. Born the daughter of a duke, she later seized the throne of the Hydrangea Kingdom and imposed a reign of absolute terror upon its citizens. However, she always met a brutal end at the hands of the five heroes destined to take her down. On her 109th loop, she regains the memories of her previous lives. Scarlet decides to use this knowledge to escape this cycle of disaster. But though she might have all the memories and knowledge of her previous lives, for now Scarlet is stuck as an infant. If she’s to survive, Scarlet must depend on former foes to aid her—the same heroes who killed her before!","","12.41","Fantasy","3.82","07/18/2025","","","","","","","","The Villainess Who Has Been Killed 108 Times"
"The Villainess Who Has Been Killed 108 Times: She Remembers Everything! (Manga) Vol. 3",", Namakura; Toriu, Chinori; Nabeshima, Tetsuhiro","Seven Seas","2024-07-15","Paperback","170","The Villainess Who Has Been Killed 108 Times. She Remembered Everything. The Maiden with the Ruby Creates a Miracle.","3","English","9798888435885","","https://www.amazon.com/dp/B0CL47YQ5M?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51mDBXWGrCL._SL500_.jpg","","","13.99","Fantasy","3.84","06/25/2025","","","","","","","","The Villainess Who Has Been Killed 108 Times"
"The Villainess Who Has Been Killed 108 Times: She Remembers Everything! (Manga) Vol. 4",", Namakura; Nabeshima, Tetsuhiro; Toriu, Chinori","Seven Seas","2024-12-10","Paperback","186","","4","English","9798888438596","","https://www.amazon.com/dp/B0CXPLLKFL?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/519pCC8BQaL._SL500_.jpg","FINAL SHOWDOWN!

Just when it seemed like Scarlet was going to become lunch for a demon dog, help arrives! Serephi is a young prodigy when it comes to sailing and business, and is already the leader of the Orange Company. He's also one of the heroes that killed Scarlet in her previous past lives. Can they be allies this time around? Also, Scarlet finally meets Alisa for the first time in this lifetime!","","12.28","Fantasy","3.87","07/18/2025","","","","","","","","The Villainess Who Has Been Killed 108 Times"
"The Witches of Adamas Vol. 2","Imai, Yu","Ghost Ship","2022-05-24","Paperback","192","アダマスの魔女たち [Adamas no Majotachi]","2","English","9781648277863","","https://www.amazon.com/dp/1648277861?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/516DPhb6VQL._SL500_.jpg","SMELLS LIKE TROUBLE! Satou Yukinari already ejaculates literal diamonds, but his curse is still evolving! He’s been holding back from getting off so long that he’s begun to produce Hottie Pheromones, the effects of which flip his once peaceful school life on its head. A harem of thirsty girls all want a whiff, and before he can escape, it culminates in a buxom teacher ensnaring him in a classroom after school!","","13.58","Horror","3.67","07/18/2025","","","","","","","","The Witches of Adamas"
"There's No Freaking Way I'll be Your Lover! Unless... (Manga) Vol. 1",", Musshu; Teren, Mikami; Takeshima, Eku","Seven Seas","2023-04-11","Paperback","192","There's No Freaking Way I'll be Your Lover! Unless… Manga","1","English","9781685794637","","https://www.amazon.com/dp/1685794637?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51i0FRjAnsL._SL500_.jpg","A high school yuri comedy about fake dating, real dating, competitive dating–and one very overwhelmed girl who’s accidentally doing all three at once?! Don’t miss the original light novels, also from Seven Seas!

After a lonely three years as a junior high outcast, nerdy Amaori Renako vows to reinvent herself as a cool kid and attain her ideal high school life. She soon finds herself suffocating under the pressure to keep up appearances, but an encounter with school superstar Oduka Mai grants her an unexpected confidante and best friend. That is, until Mai suddenly confesses her newfound love for Renako and “friendship” flies out the window! Friends or lovers—the battle for the future of their relationship begins!","","13.01","Yuri","3.85","07/18/2025","","","","","","","","There's No Freaking Way I'll be Your Lover! Unless..."
"There's No Freaking Way I'll be Your Lover! Unless... (Manga) Vol. 2",", Musshu; Teren, Mikami; Takeshima, Eku","Seven Seas","2023-06-27","Paperback","224","There's No Freaking Way I'll be Your Lover! Unless… Manga","2","English","9781685795900","","https://www.amazon.com/dp/1685795900?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51b4AOkkzmL._SL500_.jpg","A high school yuri comedy about fake dating, real dating, competitive dating–and one very overwhelmed girl who’s accidentally doing all three at once?! (Original light novels also available from Seven Seas!)

Renako Amaori is leaving her awkward and lonely junior high school life behind, determined to become a normal girl with normal friends in high school. Glamorous, confident Mai Ouzuka is Renako’s total wealthy, outgoing, and a literal fashion model. Against the odds, the two girls form an immediate connection. Renako thinks she may have found the best friend of her dreams…until Mai’s romantic confession sends her into a tailspin. Renako wants to prove to Mai that being BFFs is better than being girlfriends, but Mai is dead set on convincing Renako that they’re destined to be lovers. Let the love games begin!","","13.43","Yuri","3.84","07/18/2025","","","","","","","","There's No Freaking Way I'll be Your Lover! Unless..."
"There's No Freaking Way I'll be Your Lover! Unless... (Manga) Vol. 4","Mikami, Teren; , Musshu; Takeshima, Eku","Seven Seas","2024-02-06","Paperback","224","There's No Freaking Way I'll be Your Lover! Unless… Manga","4","English","9798888434000","","https://www.amazon.com/dp/B0CC8TZ8NC?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51n5ALBOMAL._SL500_.jpg","ALL’S FAIR IN LOVE, WAR, AND VIDEO GAMES!

Still fake-dating Satsuki, Renako finds herself caught in a dangerous love triangle between herself and the two starlets of Ashigaya High. As their conflict reaches its peak, and Satsuki’s true feelings towards Mai begin to emerge, Renako suggests a three-way battle to save her clique, her peaceful high-school life, and above all, her friends’ relationship!","","13.99","Action & Adventure","4.06","07/18/2025","","","","","","","","There's No Freaking Way I'll be Your Lover! Unless..."
"There's No Freaking Way I'll be Your Lover! Unless... (Manga) Vol. 5",", Musshu; Takeshima, Eku; Teren, Mikami","Seven Seas","2024-06-18","Paperback","192","There's No Freaking Way I'll be Your Lover! Unless… Manga","5","English","9798888436509","","https://www.amazon.com/dp/B0CJBD86KN?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/518h5MiN7zL._SL500_.jpg","A high school yuri comedy about fake dating, real dating, competitive dating–and one very overwhelmed girl who’s accidentally doing all three at once?! Don’t miss the original light novels, also from Seven Seas!

After a lonely three years as a junior high outcast, nerdy Amaori Renako vows to reinvent herself as a cool kid and attain her ideal high school life. She soon finds herself suffocating under the pressure to keep up appearances, but an encounter with school superstar Oduka Mai grants her an unexpected confidante and best friend. That is, until Mai suddenly confesses her newfound love for Renako and “friendship” flies out the window! Friends or lovers—the battle for the future of their relationship begins!","","11.1","Action & Adventure","4.02","07/18/2025","","","","","","","","There's No Freaking Way I'll be Your Lover! Unless..."
"There's No Freaking Way I'll be Your Lover! Unless... (Manga) Vol. 6",", Musshu; Mikami, Teren; Takeshima, Eku","Seven Seas","2024-10-22","Paperback","208","There's No Freaking Way I'll be Your Lover! Unless… Manga","6","English","9798891605060","","https://www.amazon.com/dp/B0CX8KCL35?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/41-8T8mxnuL._SL500_.jpg","旅によってより心を通わせたれな子と紫陽花、そんな二人の前に突如現れたのは──!?
「れなちゃんってほんとに私のこと、大好きだよねー……」
突如始まった二人の「家出旅」。小さな衝突などもありながら、紫陽花の想いはより強くれな子へと向いていく。
積極的なアプローチに焦りつつも、その気持ちの本質には気付かない鈍感なれな子。
そんな微妙なバランスを保つ二人の前に突如、ここに現れるはずのない『れまフレ』真唯が現れる──!
この旅が育むのは友情か、それとも……。青春ガールズラブコメ、夏の思い出が輝く第6巻──!!","","11.19","Action & Adventure","3.70","07/18/2025","","","","","","","","There's No Freaking Way I'll be Your Lover! Unless..."
"There's No Freaking Way I'll be Your Lover! Unless... (Manga) Vol. 7","Mikami, Teren; Takeshima, Eku; , Musshu","Seven Seas","2025-06-23","Paperback","192","","7","English","9798893733235","","https://www.amazon.com/dp/B0DHWSVGFG?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51Q8o+pkB4L._SL500_.jpg","""Kiss & Tell is a total rush! Perfectly sweet and swoon worthy. I loved every page!"" – Julie Murphy, New York Times bestselling author of Dumplin’ A smart, sexy YA novel about a boy band star, his first breakup, his first rebound, and what it means to be queer in the public eye, from award-winning author Adib Khorram Hunter never expected to be a boy band star, but, well, here he is. He and his band Kiss & Tell are on their first major tour of North America, playing arenas all over the United States and Canada (and getting covered by the gossipy press all over North America as well). Hunter is the only gay member of the band, and he just had a very painful breakup with his first boyfriend--leaked sexts, public heartbreak, and all--and now everyone expects him to play the perfect queer role model for teens. But Hunter isn't really sure what being the perfect queer kid even means. Does it mean dressing up in whatever The Label tells him to wear for photo shoots and pretending never to have sex? (Unfortunately, yes.) Does it mean finding community among the queer kids at the meet-and-greets after K&T's shows? (Fortunately, yes.) Does it include a new relationship with Kaivan, the drummer for the band opening for K&T on tour? (He hopes so.) But when The Label finds out about Hunter and Kaivan, it spells trouble—for their relationship, for the perfect gay boy Hunter plays for the cameras, and, most importantly, for Hunter himself.","","13.99","Action & Adventure","4.00","06/25/2025","","","","","","","","There's No Freaking Way I'll be Your Lover! Unless..."
"There's No Freaking Way I'll be Your Lover! Unless... Vol. 3 (There's No Freaking Way I'll be Your Lover! Unless..., #3)",", Musshu; Teren, Mikami; Takeshima, Eku","","","Paperback","","There's No Freaking Way I'll be Your Lover! Unless… Manga","3","","9781685799311","","https://www.goodreads.com/book/show/125078979-there-s-no-freaking-way-i-ll-be-your-lover-unless-vol-3","","","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1686583537l/125078979._SX98_.jpg","A high school yuri comedy about fake dating, real dating, competitive dating–and one very overwhelmed girl who’s accidentally doing all three at once?! Don’t miss the original light novels, also from Seven Seas!

After a lonely three years as a junior high outcast, nerdy Amaori Renako vows to reinvent herself as a cool kid and attain her ideal high school life. She soon finds herself suffocating under the pressure to keep up appearances, but an encounter with school superstar Oduka Mai grants her an unexpected confidante and best friend. That is, until Mai suddenly confesses her newfound love for Renako and “friendship” flies out the window! Friends or lovers—the battle for the future of their relationship begins!","","","Manga","4.07","07/18/2025","","","","","","","","There's No Freaking Way I'll be Your Lover! Unless..."
"Throw Away the Suit Together Vol. 1","Keyyang","Seven Seas","2024-07-16","Paperback","172","","1","English","9798888438299","","https://www.amazon.com/dp/B0CL478GTV?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51aX3V5NG2L._SL500_.jpg","Help teen girls step into their strength with this inspiring journal Feeling empowered means loving yourself unconditionally. It also means building the confidence to forge your own path instead of comparing yourself to others. This teen journal shows girls what empowerment looks like, with writing prompts and affirmations to encourage self-reflection and build self-esteem. It's a safe space for them to explore hopes and dreams, claim their place in the world, and learn how to live as their most authentic selves. In this teen journal, girls will: Practice self-compassion--Prompts and exercises will help teen girls better understand their emotions, treat themselves with kindness, and celebrate what makes them unique. Explore their strengths--With this teen journal, girls will find out what makes them brave, curious, and resilient with guided questions and plenty of space to reflect. Learn about other amazing women--Find short profiles on accomplished and inspiring women like Malala Yousafzai and Serena Williams. Inspire confidence and ambition in young girls with this empowering teen journal.","","13.99","Fantasy","3.84","07/18/2025","","","","","","","","Throw Away the Suit Together"
"Throw Away the Suit Together Vol. 2","Keyyang","Seven Seas","2024-10-22","Paperback","162","","2","English","9798891603035","","https://www.amazon.com/dp/B0CX8NZ6JY?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51VBT4pIudL._SL500_.jpg","Help teen girls step into their strength with this inspiring journal Feeling empowered means loving yourself unconditionally. It also means building the confidence to forge your own path instead of comparing yourself to others. This teen journal shows girls what empowerment looks like, with writing prompts and affirmations to encourage self-reflection and build self-esteem. It's a safe space for them to explore hopes and dreams, claim their place in the world, and learn how to live as their most authentic selves. In this teen journal, girls will: Practice self-compassion--Prompts and exercises will help teen girls better understand their emotions, treat themselves with kindness, and celebrate what makes them unique. Explore their strengths--With this teen journal, girls will find out what makes them brave, curious, and resilient with guided questions and plenty of space to reflect. Learn about other amazing women--Find short profiles on accomplished and inspiring women like Malala Yousafzai and Serena Williams. Inspire confidence and ambition in young girls with this empowering teen journal.","","13.71","Fantasy","3.73","07/18/2025","","","","","","","","Throw Away the Suit Together"
"Throw Away the Suit Together Vol. 3","Keyyang","Seven Seas","2025-02-04","Paperback","170","","3","English","9798891605459","","https://www.amazon.com/dp/B0DBQLZDG7?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/41ovxFYH18L._SL500_.jpg","A CHOICE ACROSS THE SEASummer has come to the island, and with it, the reality is that everything has not gone to plan. Tormented by things they have failed again, Haru and Hii-chan together have to confront their choices. Between job hunting, living expenses, part-time work and school, the pair are face with many new paths before them. Before they decide which road they will walk, they stand before the sea they crossed and choose their future.","","13.99","Fantasy","3.29","07/18/2025","","","","","","","","Throw Away the Suit Together"
"Tokyo Ghoul, Vol. 1 (Tokyo Ghoul, #1)","Ishida, Sui; Yamazaki, Joe","VIZ Media LLC","2015-06-16","Paperback","224","東京喰種 / Tokyo Ghoul","1","eng","9781421580364","","https://www.goodreads.com/book/show/23353593-tokyo-ghoul-vol-1","","","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1426976188l/23353593._SX98_.jpg","Shy Ken Kaneki is thrilled to go on a date with the beautiful Rize. But it turns out that she’s only interested in his body—eating it, that is. When a morally questionable rescue transforms him into the first half-human half-Ghoul hybrid, Ken is drawn into the dark and violent world of Ghouls, which exists alongside our own.","","","Horror","4.40","07/18/2025","","","","","","","","Tokyo Ghoul"
"Tokyo Ghoul, Vol. 2 (2)","Ishida, Sui","VIZ Media LLC","2015-08-18","Paperback","208","東京喰種 / Tokyo Ghoul","2","English","9781421580371","","https://www.amazon.com/dp/1421580373?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51YpddX7ARL._SL500_.jpg","Unable to discard his humanity but equally unable to suppress his Ghoul hunger, Ken finds salvation in the kindness of friendly Ghouls who teach him how to pass as human and eat flesh humanely. But recent upheavals in Ghoul society attract the police like wolves to prey, and they don’t discriminate between conscientious and monstrous Ghouls.","","12.9","Fantasy","4.42","07/18/2025","","","","","","","","Tokyo Ghoul"
"Tokyo Ghoul, Vol. 3 (3)","Ishida, Sui","VIZ Media LLC","2015-10-20","Paperback","192","東京喰種 / Tokyo Ghoul","3","English","9781421580388","","https://www.amazon.com/dp/1421580381?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/514vZuoxm1L._SL500_.jpg","Kaneki is still trying to get used to his new life when Commission of Counter Ghoul agents Mado and Amon start sniffing around for Hinami. Kaneki and Touka are going to have to get them off her tail and fast. No easy task now that Kaneki’s got to bring humans and Ghouls to a rapid truce at the same time.","","9.39","Fantasy","4.39","07/18/2025","","","","","","","","Tokyo Ghoul"
